title_id;release_id;year;title;subtitle;distributor;genres;runtime;release_date;earliest_release_date;release_worldwide_gross;release_domestic_gross;release_foreign_gross;release_domestic_opening;title_worldwide_gross;title_domestic_gross;title_foreign_gross;n_theaters_opening;n_theaters_widest;days_in_release;summary;mpaa;country;language;budget;director;writer;cast;production;link_tomato;rating_imdb;rating_count_imdb;rating_metacritic;rating_count_metacritic;rating_tomatometer;rating_count_tomatometer;rating_audience_score;rating_count_audience_score;;
tt3289724;rl2264958465;2018;Welcome to Marwen;;Universal Pictures;biography,comedy,drama,fantasy,romance;116;2018,12,21;2018,12,21;13061491;10763520;2297971;2354205;13061491;10763520;2297971;1911;1911;331;a victim of a brutal attack finds a unique and beautiful therapeutic outlet to help him through his recovery process;PG-13;Japan;English;39000000;Robert Zemeckis;Robert Zemeckis (screenplay by), Caroline Thompson (screenplay by);Steve Carell, Falk Hentschel, Matt O'Leary, Nikolai Witschl;Universal Pictures;https://www.rottentomatoes.com/m/untitled_robert_zemeckis_project;61;13504;40;38;35;160;50;1532;;
tt7156436;rl1225164289;2018;Take Point;;CJ Entertainment;action;119;2018,12,27;2018,12,26;12908032;112386;12795646;21189;12908032;112386;12795646;2;25;325;on the day of the us presidential election in 2024 ahab ha and his team of elite mercenaries embark on a secret cia mission to abduct north koreas armed forces minister in an underground bunker below the korean demilitarized zone dmz however they get caught in the crossfire which causes tensions to escalate to the brink of world war iii;Not,Rated;South Korea;Korean;;Byung-woo Kim;Byung-woo Kim, Sang-yeon Park (novel);Jung-woo Ha, Sun-kyun Lee, Jennifer Ehle, Kevin Durand;CJ Entertainment America;https://www.rottentomatoes.com/m/take_point;53;659;;;80;5;62;27;;
tt4410000;rl3171386881;2018;Luis & the Aliens;;Viva Pictures Distribution;adventure,animation,comedy,family,scifi;86;2018,08,17;2018,04,6;12627729;169710;12458019;;12627729;169710;12458019;;20;456;an 11yearold boy befriends three aliens after they crash their spaceship into his house;PG;Germany;English;;Christoph Lauenstein, Wolfgang Lauenstein, Sean McCormack(co-director);Wolfgang Lauenstein (screenplay), Christoph Lauenstein (screenplay), Jurgen Wolff (screenplay revisions), Joe Vitale (screenplay revisions), Sean McCormack, Jeffrey Hylton (screenplay punch up);Callum Maloney, Dermot Magennis, Ian Coppinger, Paul Tylak;Viva Pictures;https://www.rottentomatoes.com/m/luis_and_the_aliens;60;1614;46;4;24;17;63;69;;
tt4595882;rl50693633;2018;Can You Ever Forgive Me?;;Fox Searchlight Pictures;biography,comedy,crime,drama;106;2018,10,19;2018,10,19;12442161;8803865;3638296;161510;12442161;8803865;3638296;5;555;394;when lee israel falls out of step with current tastes she turns her art form to deception;R;USA;English;10000000;Marielle Heller;Nicole Holofcener (screenplay by), Jeff Whitty (screenplay by);Melissa McCarthy, Richard E. Grant, Dolly Wells, Ben Falcone;Fox Searchlight Pictures;https://www.rottentomatoes.com/m/can_you_ever_forgive_me;71;36614;87;53;98;291;81;2830;;
tt6927152;rl3305604609;2018;Rampant;;Well Go USA Entertainment;action,horror;121;2018,10,26;2018,10,25;12359573;167937;12191636;18326;12359573;167937;12191636;2;29;386;lee chung is a prince of joseon but he has been taken hostage to the qing dynasty;Not,Rated;South Korea;Korean;;Sung-hoon Kim;Jo-yun Hwang, Shin-yeon Won, Hwang Jo Yoon;Dong-Gun Jang, Hyun Bin, Eui-sung Kim, Woo-jin Jo;Well Go USA Entertainment;https://www.rottentomatoes.com/m/rampant;63;2124;;;62;13;61;97;;
tt6580564;rl2080671233;2018;102 Not Out;;Sony Pictures Releasing;comedy,drama;102;2018,05,4;2018,05,3;12214889;1343797;10871092;483681;12214889;1343797;10871092;102;102;242;102 not out is a 2018 comedydrama film with legendary actor amitabh bachchan playing a 102yearold wanting to break the oldestmanalive record another bollywood legend rishi kapoor plays his sad and grumpy 75yearold son;PG;India;Hindi;;Umesh Shukla;Saumya Joshi;Amitabh Bachchan, Rishi Kapoor, Vijay Raaz, Ashok Pathak;Treetop Entertainment;https://www.rottentomatoes.com/m/102_not_out;75;5247;;;58;12;83;106;;
tt7008872;rl3154281985;2018;Boy Erased;;Focus Features;biography,drama;115;2018,11,2;2018,11,2;11853081;6788692;5064389;207057;11853081;6788692;5064389;5;672;380;the son of a baptist preacher is forced to participate in a churchsupported gay conversion program after being forcibly outed to his parents;R;Australia;English;11000000;Joel Edgerton;Garrard Conley (based on the memoir Boy Erased by), Joel Edgerton (written for the screen by);Lucas Hedges, Nicole Kidman, Russell Crowe, Madelyn Cline;Focus Features;https://www.rottentomatoes.com/m/boy_erased;69;23435;69;48;80;246;74;2285;;
tt9078374;rl319194625;2018;Last Letter;;China Lion Film Distribution;drama,romance;114;2018,11,9;2018,11,8;11834622;180946;11653676;80485;11834622;180946;11653676;18;23;372;attending the reunion in lieu of her late elder sister zhihua accidentally runs into yin chuan on whom she had a crush in her youth as old memories are evoked zhihua slowly uncovers the intricate story of the trio;;China;Mandarin;;Shunji Iwai;Shunji Iwai (screenplay), Nan Wu (dialogue: Chinese);Xun Zhou, Hao Qin, Jiang Du, Zifeng Zhang;China Lion Film Distribution;https://www.rottentomatoes.com/m/last_letter_2018;64;393;;;;6;;;;
tt7298400;rl570852865;2018;Ash Is Purest White;;Cohen Media Group;crime,drama,romance;136;2019,03,15;2018,09,21;11813509;422814;11390695;45150;11813509;422814;11390695;7;49;247;a story of violent love within a time frame spanning from 2001 to 2017;Not,Rated;China;Chinese;;Zhangke Jia;Zhangke Jia;Tao Zhao, Fan Liao, Yi'nan Diao, Jiali Ding;Cohen Media Group;https://www.rottentomatoes.com/m/ash_is_purest_white;70;4629;85;34;99;143;67;130;;
tt5789976;rl2382857729;2018;King of Thieves;;Saban Films;crime,drama;108;2019,01,25;2018,09,14;11338478;7518;11330960;3502;11338478;7518;11330960;11;11;296;a true crime movie about a crew of retired crooks who pull off a major heist in londons jewelry district what starts off as their last criminal hurrah quickly turns into a brutal nightmare due to greed based on infamous true events;R;UK;English;;James Marsh;Joe Penhall (screenplay), Mark Seal (magazine article);Michael Caine, Michael Gambon, Charlie Cox, Jim Broadbent;Saban Films;https://www.rottentomatoes.com/m/king_of_thieves_2018;55;9030;47;16;34;79;30;356;;
tt4823538;rl1980073473;2018;La Boda de Valentina;;Pantelion;comedy,romance;107;2018,02,9;2018,02,9;11021794;2783739;8238055;1147073;11021794;2783739;8238055;331;331;326;valentina has the perfect life in america her universe trembles when jason her boyfriend proposes marriage and she must confront her family the hidalgo the most chaotic and surreal political dynasty in the history of mexico;R;Mexico;Spanish;47900000;Marco Polo Constandse;Beto Gómez (based on story idea by), Santiago Limón, Issa López;Kate Vernon, Omar Chaparro, Ryan Carnes, Tony Dalton;Pantelion Films;https://www.rottentomatoes.com/m/la_boda_de_valentina;47;537;;;22;9;35;106;;
