rank;year;title_name;title_id;distributor;release_day;release_month;release_year;worldwide_gross;domestic_gross;foreign_gross;opening_gross;budget;genres
6379;1997;the sweet hereafter;tt0120255;fine line features;10;10;1997;3263585;3263585;;31149;;drama
6380;2017;raees;tt3405236;zee tv;25;1;2017;8428190;3262954;5165236;1798379;;action,crime,drama
6381;1987;pinocchio and the emperor of the night;tt0093743;new world pictures;25;12;1987;3261638;3261638;;;;adventure,animation,family,fantasy
6382;1981;zoot suit;tt0083365;universal pictures;2;10;1981;3256082;3256082;;63356;;drama,musical
6383;2013;the fifth estate;tt1837703;walt disney studios motion pictures;11;10;2013;8555008;3255008;5300000;1673351;28000000;biography,crime,drama,thriller
6384;2010;you will meet a tall dark stranger;tt1182350;sony pictures classics;27;8;2010;34423925;3248246;31175679;160103;22000000;comedy,drama,romance
6385;1993;splitting heirs;tt0108207;universal pictures;30;4;1993;3246063;3246063;;1738315;;comedy,crime
6386;2014;before i go to sleep;tt1726592;clarius entertainment;4;9;2014;15447154;3242457;12204697;1843347;;drama,horror,mystery,thriller
6387;1995;carrington;tt0112637;gramercy pictures i;10;11;1995;3242342;3242342;;151722;;biography,drama,romance
6388;2010;catfish;tt1584016;rogue pictures;17;9;2010;3479614;3237343;242271;257285;;documentary,drama,mystery,thriller
6389;2016;sing street;tt3544112;the weinstein company;18;3;2016;13624522;3237118;10387404;63573;;comedy,drama,music,romance
6390;2016;mei ren yu;tt4701660;sony pictures releasing;8;2;2016;553810228;3232685;550577543;985052;;comedy,drama,fantasy,romance
6391;2017;the leisure seeker;tt3741632;sony pictures classics;15;12;2017;10472180;3226443;7245737;;;adventure,comedy,drama,romance
6392;1977;race for your life charlie brown;tt0076591;paramount pictures;2;6;1977;3223888;3223888;;;;adventure,animation,comedy,family
6393;1979;lost and found;tt0079486;columbia pictures;22;6;1979;3223197;3223197;;1022374;;comedy
6394;1987;barfly;tt0092618;cannon film distributors;16;10;1987;3221568;3221568;;45900;;comedy,drama,romance
6395;1998;pi;tt0138704;artisan entertainment;10;7;1998;3221152;3221152;;31069;;drama,horror,mystery,scifi,thriller
6396;2016;green room;tt4062536;a24;15;4;2016;3769214;3220371;548843;87984;;horror,music,thriller
6397;2003;anything else;tt0313792;dreamworks distribution;19;9;2003;13585075;3212310;10372765;1673125;18000000;comedy,romance
6398;2002;the cats meow;tt0266391;lionsgate;12;4;2002;3646994;3209481;437513;111037;;drama,romance
6399;1992;traces of red;tt0105631;the samuel goldwyn company;13;11;1992;3206714;3206714;;804336;;crime,drama,mystery,thriller
6400;2010;another year;tt1431181;sony pictures classics;5;11;2010;19722766;3205706;16517060;111869;8000000;comedy,drama
6401;1999;the limey;tt0165854;artisan entertainment;8;10;1999;3325736;3204663;121073;187122;10000000;crime,drama,mystery,thriller
6402;2001;la veuve de saintpierre;tt0191636;lionsgate;12;10;2000;7193889;3193889;4000000;31702;;drama,history,romance
